,Topic,For_Info
7013,عموم مردم شهرستان مهرستان و روستاهای منطقه,-1
7014,مردم روستای کستگ,9
7015,اهالی روستای همت‌آباد,11
7016,مردم ایرندگان,7
7017,مردم زاهدان و تمامی فعالین محیط زیست,0
7018,اهالی کهن ملا و عموم مردم کشور,-1
7019,مردم بخش سرباز,-1
7020,اهالی بخش هیدوچ,11
7021,مردم و جوانان دهستان کنت,9
7022,مردم سرباز,7
7023,ساکنان دهستان کنت,-1
7024,مردم شهرستان خاش و منطقه روتک,-1
7025,اهالی روستای کرشان,11
7026,مردم گوهرکوه,9
7027,مردم روستای دپکور,9
7028,مردم منطقه مک سوخته,9
7029,مردم بخش بم پشت,-1
7030,شورای اسلامی و اهالی روستای نیرهی,-1
7031,اهالی روستای گروکان,11
7032,ساکنین روستاهای حومه سراوان,26
7033,مردم سیستان و بلوچستان و عموم مردم کشور,85
7034,مردم روستاهای دزک، پرکنت و زنگیان,64
7035,مردم روستای مچکور و منطقه,-1
7036,مردم روستای کهن‌ملا,9
7037,اهالی روستای چاه حسین,11
7038,فعالین اجتماعی و اهالی منطقه,0
7039,مردم رودکان,7
7040,کارکنان ادارات,3
7041,اهالی بخش بم‌پشت و بخش مرکزی سراوان,-1
7042,مردم دپ,7
7043,مردم روستاهای منطقه سرباز,-1
7044,ساکنین روستای مغ,-1
7045,مردم روستای تولیاب,9
7046,مردم روستای ششکیدر,9
7047,مردم روستای زیارتجاه,9
7048,مردم ناهوک,7
7049,مردم روستای خشنک و گورناگ,9
7050,مردم روستای اورنگ,9
7051,مردم خشنک,7
7052,فرهنگیان، دانشجویان و اهالی روستا,-1
7053,مردم آپاتان,7
7054,مردم دهستان مچان,9
7055,مردم شریف بخش کله‌گان,136
7056,مردم روستای پتکان و اطراف,-1
7057,مردم عادی و کاربران فضای مجازی,-1
7058,مردم هنزامان,7
7059,مردم هیدوچ,7
7060,مردم منطقه ھبودان,9
7061,پرسنل فوریت‌های پزشکی,91
7062,اهالی روستای کوپچ,11
7063,اهالی محترم روستای کله چار,-1
7064,کارکنان اداره راه و حمل و نقل جاده‌ای ایرانشهر,39
7065,عموم ساکنان شهرستان های ارسنجان و آباده طشک و سایر عابرین از این مسیر,29
7066,ساکنان دهستان ریزآب,11
7067,مجمع مطالبه‌گران شهرستان فسا,-1
7068,جمعی از مردم شریف کازرون و حومه و بخش کمارنج و کنارتخته و خشت,-1
7069,ساکنین و باغداران خالدآباد,-1
7070,کشاورزان و تمامی اقشار مربوط به کشاورزی به صورت مستقیم و غیر مستقیم,13
7071,جمعی از کارکنان تابع قانون کار پتروشیمی شیراز,17
7072,جمعی از متاضیان مسکن ملی شهر صدرا پروژه های ماهور (3،2،1),60
7073,جمعی از جامعه سلامت استان فارس,-1
7074,جمعی از شهروندان و ساکنان شهرستان بوانات و خرم‌بید,-1
7075,جمعی از شهروندان شهرستان زرقان. ساکنین لپویی و مسکن مهر و زرقان,-1
7076,جمعی از مردم شهرستان ارسنجان فارس,30
7077,جمعی از مردم حقیقت جو و عدالت خواه حوزه انتخابیه مرودشت، ارسنجان و پاسارگاد,30
7078,عموم اهالی بخش اسیر و بخش‌های همجوار، جوانان، نوجوانان، فرهنگیان، بسیجیان، خانواده‌های معظم شهدا، کارگران و پرسنل شاغل در منطقه و...,10
7079,فیلم سازان و عوامل هنری وسینمایی استان فارس,43
7080,جامعه عشایر نوراباد ممسنی,-1
7081,اقشار مختلف مردم ممسنی و رستم,-1
7082,جوانان مطالبه‌گر,-1
7083,عموم مردم مناطق درودزن. ابرج. رامجرد,64
7084,شهروندان شهر شیراز وزرقان و ایلات و عشایر حوزه شیراز وزرقان,29
7085,عموم مردم داراب و زرین‌دشت,99
7086,عموم مردم حوزه انتخابیه آباده، بوانات، خرمبید و سرچهان,-1
7087,عموم مردم حوزه انتخابیه آباده بوانات خرم‌بید سرچهان,-1
7088,اقشار مختلف مردم شهرستان های لامرد و مهر,-1
7089,دانشجویان دانشگاه شیراز,55
7090,جمعی از نخبگان و فعالین سیاسی اجتماعی شهرستان‌های ممسنی و رستم,0
7091,عموم مردم ساکن این منطقه,99
7092,شهروندان شهر دبیران,-1
7093,عموم مردم زرین‌دشت و خانواده‌های داغ دیده حوادث جاده‌ای,-1
7094,دانشجویان ورودی جدید دانشگاه شیراز,40
7095,کارکنان شهرداری شیراز,3
7096,دانشجویان پرستاری علوم پزشکی شیراز,36
7097,تشکل‌های مردم نهاد، گروه رزمندگان بخش اَرَد,0
7098,اهالی روستای زیادآباد و روستاهای اطراف,29
7099,مردم فهیم شهرستان لامرد، عموم مردم، مددجویان کمیته امداد، مددجویان بهزیستی، بارنشستگان فرهنگی,10
7100,مردم شهرستان اقلید,21
7101,مردم شهر قادرآباد,-1
7102,پرسنل,-1
7103,اهالی شرق شهر صدرا,-1
7104,مردم بیضا,7
7105,پرسنل دانشگاه علوم پزشکی شیراز,37
7106,مردم کلانشهر شیراز,-1
7107,اعضای شش بلوک فاز a پروژه دامان گاز شیراز,34
7108,داشجویان دختر دانشگاه سلمان فارسی کازرون,55
7109,عموم مردم فارس,75
7110,پرسنل اداری مراکز آموزشی درمانی,-1
7111,دانشجویان توانبخشی دانشگاه علوم پزشکی شیراز,36
7112,مالکین اراضی (زمین‌های) جبل دراک,34
7113,اهالی شهرک جانبازان پشت باغ جنت,26
7114,مهندسان و مردم شریف استان فارس و شهر شیراز,112
7115,شهروندان ساکن شهر شیراز و کلیه علاقمندان دیدار از این شهر,-1
7116,دوستان، همکاران و هم‌رزمان ایشان,23
7117,عموم مردم شریف منطقه لارستان و جنوب ایران,-1
7118,والدین دبستان غیر انتفاعی پسرانه علوم پزشکی شیراز,37
7119,دانشجویان پرستاری دانشگاه علوم پزشکی شیراز,36
7120,مردم شریف لارستان,136
7121,پیمانکاران ساختمانی، پیمانکاران عمرانی، سازندگان مسکن,54
7122,مردم شهر داراب,21
7123,عموم مردم شهرستان‌های ممسنی و رستم استان فارس,99
7124,اهالی روستای حسین آباد,11
7125,همه اقشار مردم سیاخ دارنگون,-1
7126,ساکنین منطقه سیاخ دارنگون شیرار,-1
7127,عموم مردم بخش سیاخ دارنگون و کوهمره,-1
7128,مردم شهرستان قیر و کارزین,21
7129,مالکان خرد فاز سه صدرا,34
7130,اهالی محترم کوهمره سرخی، منطقه سیاخ دارنگون، حامیان و دوست‌داران منابع طبیعی و محیط زیست,0
7131,مردم شهرستان فسا,21
7132,اهالی دهستان تاریخی کمارج و طبیعت دوستان,-1
7133,جمعی از معماران,5
7134,دانشجویان دانشکده هنر و معماری دانشگاه شیراز,79
7135,شرکت‌کنندگان آزمون فولاد و شهروندان نی‌ریز,1
7136,دانشجویان دانشگاه هنر شیراز,79
7137,اهالی خیابان دنا و بهاران معالی آباد,26
7138,شهروندان و روستائیان شهرستان خرم بید، خرم بیدی های مقیم سایر شهرها,29
7139,مردم ساکن منطقه,26
7140,دانشجویان دانشگاه علمی کاربردی مرکز آباده و مردم شهرستان آباده,96
7141,مردم شهرستان مرودشت,21
7142,شوراها ودهیاران و معتمدین و خانواده ی معظم شهدا منطقه قدمگاه,-1
7143,خانواده شهدا و جانبازان و مسئولین شهر,-1
7144,کلیه اقشار مردم به ویژه دوستداران میراث فرهنگی ایران,0
7145,توسط همه مردم زحمت کش و کارگر دوست و عزیز ایران,18
7146,اهالی شهرها و روستاهای همجوار بختگان,29
7147,ورزشکاران و آحاد مردم ورزش دوست,31
7148,جمعی از کارمندان شاغل در مراکز بهداشت,6
7149,کارمندان علوم پزشکی شیراز,37
7150,پرسنل علوم پزشکی شیراز,37
7151,دوست‌داران شیراز، دوست‌داران حافظ و دوست‌داران ادبیات,0
7152,حامیان محیط زیست شیراز,0
7153,عموم مردم شهر شیراز,-1
7154,مردم عادی کشاورز و دامدار,-1
7155,جمعی از مردم بخش قطرویه,58
7156,جمعی از دانشجویان دانشگاه علوم پزشکی شیراز,24
7157,مالکان خرد اراضی مشاع صدرا و گویم,34
7158,جمعی از دوندگان شیراز,5
7159,جمعی از اهالی قصرالدشت، آگاهان اجتماعی، فرهنگی، سازمان های مردم نهاد، طرفداران محیط زیست و متخصصان حوزه شهری,0
7160,جمعی از مردم خرامه,58
7161,جمعی از ساکنین منطقه کوهمره و سیاخ‌دارنگون,48
7162,جمعی از مردم شیراز,58
7163,اهالی شهرستان رستم به ویژه بخش رستم ۲ و ۳,29
7164,جمعی از مردم شهرستان سروستان,30
7165,جمعی از هنرمندان شیراز,-1
7166,جمعی از مردم لارستان,58
7167,جمعی از شهروندان بخش خیرگو و مناطق همجوار,30
7168,دانشجویان دانشگاه سلمان فارسی کازرون,55
7169,بانوان و همه دوستداران خانواده,-1
7170,دوستداران و فعالان میراث فرهنگی,0
7171,سرمایه‌گذاران شهر بازی اکو پارک صدرا,59
7172,مردم کوهمره,7
7173,جمعی از کارگران کارخانه سیمان آباده,-1
7174,مربیان پیش‌دبستانی استان فارس,-1
7175,عموم مردم شهرستان اقلید,69
7176,اهالی مرودشت، منطقه رامجرد، ابرج و درودزن,64
7177,دوستداران تاریخ و فرهنگ ایرانی,0
7178,جمعی از شهروندان شیراز,51
7179,جمعی از کشاورزان بخش افزر شهرستان قیروکارزین استان فارس,-1
7180,فعالان میراث فرهنگی و گردشگری، فعالان فرهنگی و روزنامه‌نگاران حوزه شهری و اجتماعی شهر شیراز,0
7181,فعالان گردشگری و علاقه‌مندان شیراز,-1
7182,همه اقشارجامعه,15
7183,سازمان‌های مردم‌نهاد حامی محیط‌زیست و اهالی شهرستان‌های استهبان، نی‌ریز و بختگان فارس,0
7184,عموم مردم فرهنگ‌دوست شیراز و ایران و ایرانیان خارج از کشور,83
7185,مردم جنوب خصوصاً قشقایی‌ها و اهالی فیروز‌آباد فارس,-1
7186,مردم روستای حشمتیه,9
7187,شهروندان شیراز,16
7188,مالکان زمین‌های مشاع فاز دو صدرا,34
7189,شهروندان شیراز از جمله شهرک‌های حاشیه کمربندی و شاغلان شهرک صنعتی,-1
7190,مردم شریف استان فارس و بوشهر و خانواده‌های شهدای ایل بزرگ قشقایی,-1
7191,حامیان محیط‌زیست و میراث فرهنگی، کشاورزان و عموم مردم,0
7192,بهره‌برداران و رانندگان اتوبوس شهری شیراز,33
7193,ساکنان منطقه کُربال,26
7194,کشاورزان، کارگران، فرهنگیان، کارمندان و پیله‌وران,-1
7195,مهندسین ناظر,49
7196,حیدر زارع,2
7197,یکی از شهروندان مرودشت,51
7198,ورزشکاران، قهرمانان و تحصیل‌کردگان ورزش استان فارس,-1
7199,مردم مطالبه‌گر لارستان,7
7200,مردم شهر صدرا,-1
7201,اصناف و بازاریان، فرهنگیان و دانشگاهیان، ورزشکاران، فعالان صنعت، کشاورزان و دامداران، جامعه بانوان و جامعه عشایر آباده,10
7202,مردم‌ استان فارس,14
7203,هنرمندان و فرهنگیان استان فارس,43
7204,جامعه فعالان فرهنگی و هنری فارس,0
7205,جمعی از ساکنان شهرک آرین,-1
7206,روستاییان و عشایر قیروکارزین,-1
7207,کارگران و کارشناسان فضای سبز شیراز,-1
7208,دغدغه‌مندان فرهنگ و تاریخ ایران,0
7209,کودکان و نوجوانان فسا,117
7210,کارگران اتفاقات,129
7211,مردم مهارلو,7
7212,مردم بخش فورگ,9
7213,مردم کوه‌چنار,-1
7214,هواداران باشگاه فرهنگی‌ورزشی شهدای قشقایی,50
7215,عموم مردم خرامه,68
7216,پزشکان خانواده شهری استان فارس,-1
7217,دانشجویان مؤسسه آموزش عالی هنر شیراز,-1
7218,مردم استان فارس و عموم مردم کشور,83
7219,ساکنین محل و عموم مردم شیراز,-1
7220,حامیان مردمی دکتر سید ابراهیم رئیسی,0
7221,شهروندان شیرازی و حامیان محیط زیست,0
7222,شهروندان شیراز و استان فارس,14
7223,مردم دارالمیزان,7
7224,طلاب حوزه علمیه فارس,42
7225,اهالی ریزاب,11
7226,بازنشستگان صنعت برق استان فارس,113
7227,دوستداران حیوانات و حامیان محیط زیست,0
7228,حامیان محیط زیست و حیات وحش,0
7229,دانشجویان پرستاری شهرستان اقلید,-1
7230,دانشگاهیان استان فارس,14
7231,مردم شریف کازرون و استان فارس و تمامی طبیعت دوستان ایران,-1
7232,اهالی فرهنگ,43
7233,جمعی از مردم شهر صدرا,-1
7234,جوانان انقلابی و تشکل‌های فرهنگی و اجتماعی استان فارس,0
7235,پزشکان خانواده استان فارس,-1
7236,دانشجویان و دانش‌آموختگان دانشگاه شیراز,-1
7237,دانشجویان دانشگاه علوم پزشکی شیراز,36
7238,دانش‌آموختگان دانشگاه شیراز، شهروندان شیراز و عموم مردم,83
7239,پزشکان خانواده,2
7240,اهالی روستای قشلاق چرخلو,11
7241,دانشجویان و اهالی منطقه قاقازان,-1
7242,اهالی محترم روستاهای بخش چوقور طارم سفلی,11
7243,اهالی روستاهای دهستان چوقور بخش طارم سفلی استان قزوین,11
7244,سرمایه گذاران شرکت رضایت خودرو تاکستان,-1
7245,جمعی از اهالی ،فرهیختگان و بزرگان الموت,-1
7246,عموم مردم، بازنشستگان آموزش و پرورش و کارمندان آموزش و پرورش,46
7247,سرمایه‌گذاران شرکت رضایت خودرو تاکستان,-1
7248,سهامداران شفیع‌آباد، شامل خانواده محترم شهدا، جانبازان، ایثارگران و خریداران,77
7249,کوهنوردان و ورزشکاران,-1
7250,کل اهالی منطقه,26
7251,اعضای کانال مدرسه میعاد,-1
7252,مال باختگان شرکت تاج خودرو و خانواده‌های مال باختگان,23
7253,اهالی روستای خیارج استان قزوین,11
7254,انتظار کشیدگان وام بانک ملی ایران استان قزوین,60
7255,کارکنان اداره بهزیستی استان قزوین,-1
7256,ساکنان روستای نمکین واقع در طارم سفلی استان قزوین,11
7257,جامعه بزرگ ورزش و جوانان استان قزوین,-1
7258,جمعی از مردمان بافرهنگ الموت,-1
7259,دانشجویان دانشگاه کار قزوین,55
7260,دانشجویان و فارغ‌التحصیلان مرکز آموزش عالی فنی و مهندسی بوئین‌زهرا,28
7261,مردم روستای سیف‌آباد قزوین,9
7262,کارکنان شرکت اتوبوسرانی قزوین,3
7263,ساکنان روستاهای منطقه,26
7264,اهالی شهرک ولایت اقبالیه استان قزوین,-1
7265,مردم قزوین,7
7266,ساکنین روستای چنگوره,-1
7267,فرهنگیان سهامدار در هتل فرهنگیان,-1
7268,جمعی از فعالین فرهنگی و اجتماعی,0
7269,جمعی از ساکنین شهر قم,48
7270,عموم مردم قم,75
7271,شهروندان قم,16
7272,شهروندان استان قم,14
7273,طلاب حوزه های علمیه,42
7274,مالکان محله ۹ پردیسان قم (الهیه جدید),34
7275,اعضای تعاونی مسکن,90
7276,فرهنگیان و بازنشستگان فرهنگی,97
7277,شهروندان نگران قم,16
7278,دانشجویان دانشگاه آزاد اسلامی قم,38
7279,پرسنل آتش نشانی شهر قم,91
7280,اهالی روستای انجیله,11
7281,اهالی استان قم، اهالی بخش جمکران، مالکین زمین‌های جمکران,-1
7282,متقاضیان آزمون زبان ept شهر قم,1
7283,جمعی از طراحان، معماران و مردم قم,0
7284,دانشجویان دانشگاه آزاد قم,38
7285,ساکنان مجتمع شقایق,26
7286,دانشجویان دانشگاه پیام نور قم,96
7287,دانشجویان استاد فقیهی‌نژاد,55
7288,دانشجویان پزشکی دانشگاه علوم پزشکی قم,36
7289,علاقمندان بافت تاریخی، کنشگران شهری و سازمان‌های مردم نهاد,0
7290,استفاده کنندگان اینترنت شهر مریوان,-1
7291,اهالی و ساکنین روستا اعم از دانشجویان، دانش آموزان، مردم تمامی سنین، فرهنگیان و عموم مشاغل,10
7292,عموم مردم اورامانات و پشتوانه جامعه مطالبه‌گر و فرهیخته اورامانات,-1
7293,جمعی از کاندیداهای دوازدهمین دوره مجلس شورای اسلامی و مردم شهرستان بیجار,30
7294,اهالی شهرستان دیواندره,-1
7295,جمعی از کشاورزان حریم رودخانه‌های قزل اوزن، قشلاق و گاورود,-1
7296,عموم مردم همدل شهر زیبای قروه,69
7297,جمعی از شهروندان مریوان,51
7298,مطالبه‌گران نظام مهندسی ساختمان استان کردستان,20
7299,دانشجویان دانشگاه کردستان,55
7300,فعالین اجتماعی و عموم مردم,0
7301,ساکنان مریوان,26
7302,جامعه کشتی کردستان,-1
7303,پرسنل شرکتی دانشگاه علوم پزشکی کردستان,37
7304,فرهنگیان استان کردستان,14
7305,دانشگاهیان استان کردستان,14
7306,جمعی از ساکنین منطقه جنوبی لیلاخ استان کردستان( بخش بلبان آباد),-1
7307,جمعی از شهروند سنندجی,51
7308,جمعی از دانشجو یان رشته روانشناسی بالینی مقطع ارشد دانشگاه آزاد سنندج,40
7309,جمعی از اهالی روستای جبرییل و حومه,48
7310,مردم کردستان,7
7311,شهروندان کردستانی,16
7312,شهروندان شهرستان بوکان و حومه,94
7313,جمعی از مردم شهرستان قروه,-1
7314,شهروندان شهرستان‌های مریوان و سروآباد استان کردستان,-1
7315,ساکنان استان کردستان و اهالی شهرستان مریوان,-1
7316,عموم مردم شهرستان سقز,69
7317,عموم مردم بیجار,68
7318,متقاضیان مسکن ملی کردستان,60
7319,مردم شهرستان دهگلان,21
7320,مردم فهیم شهرستان انار,21
7321,جمعی از کارمندان علوم پزشکی,-1
7322,اقشار گوناگون مردم بخصوص دانشجویان,15
7323,جمعی از نخبگان جنوب استان کرمان,-1
7324,جمعی از مردم شهرستان زرند,30
7325,جمعی از هنرمندان، عکاسان، فیلمبرداران، اتحادیه عکاسان و فیلمبرداران سراسر کشور,-1
7326,ساکنین شهرک علی ابن ابیطالب قناتغستان بخش ماهان شهر کرمان,-1
7327,جمعی از کشاورزان گل محمدی,-1
7328,جمعی از کسبه,5
7329,عموم مردم شش شهرستان جنوب کرمان شهرستان‌های کهنوج، قلعه گنج، فاریاب، منوجان، روبار جنوب و زهکلوت,-1
7330,عموم مردم رفسنجان,75
7331,نانوایان محترم,44
7332,فاقد مسکن‌ها و خرده مالکین اراضی 15خرداد در کرمان,34
7333,باستان‌شناسان، فرهنگیان، دانشجویان، هنرمندان,-1
7334,پرستاران رفسنجان,2
7335,مردم شهرستان‌های جنوبی استان کرمان,14
7336,جمعی از اهالی روستاهای طی مسیر و کارکنان معدن مس سرچشمه اعم از بازنشستگان و کارکنان,-1
7337,ورزشی‌ها,2
7338,شهروندان شهرستان بردسیر,94
7339,شهروندان شهرستان بافق,94
7340,عموم مردم شهرستان بردسیر,69
7341,کارکنان منطقه معدنی و صنعتی گل‌گهر و مردم شهرستان سیرجان,29
7342,فرهنگیان بازنشسته و شاغل آموزش و پرورش زرند,46
7343,جمعی از اهالی بخش شهداد,-1
7344,دانشجویان دانشگاه فرهنگیان کرمان,-1
7345,خانواده‌هایی که در این پروژه سرمایه‌گذاری کرده‌اند,6
7346,بازنشستگان و جمعی از کارکنان آموزش و پرورش استثنایی,82
7347,اهالی محترم زنگی آباد، کاظم آباد، فرح آباد، کهنوج مدیم، رحیم آباد و...,64
7348,جمعی از پرسنل شاغل و بازنشسته شرکت مس، شهربابک,-1
7349,شورای روستای چاه دراز و مردم روستا,-1
7350,سهامداران شرکت سرمایه‌گذاری کشاورزی ایران,72
7351,پرسنل پیش بیمارستانی,3
7352,مردم نجیب و شریف استان کرمان,112
7353,پرستاران علوم پزشکی رفسنجان,37
7354,رودبار ، کهنوج ،فاریاب ،منوجان،جازموریان ،قلعه گنج,-1
7355,اهالی شهرستان کوهبنان و توابع,-1
7356,پرستاران و پیراپزشکان و خانواده‌های آنان,23
7357,اعضا شرکت تعاونی سحاب فرهنگیان استان کرمان,90
7358,آحاد مردم و اقشار مختلف بردسیر,15
7359,فرهنگیان، خانواده شهدا، جانبازان و ایثارگران، والدین دانش آموزان,77
7360,شهروندان کرمانی,16
7361,مردم کرمان,-1
7362,مطالبه‌گران ولایی و انقلابی استان کرمان,-1
7363,اهالی شهرک جوپارستان کرمان,26
7364,مردم شهرستان سیرجان،اهالی شهرک مس سرچشمه و بخش پاریز و حومه,29
7365,شهروندان رفسنجان,16
7366,فارغ‌التحصیلان علوم پزشکی و بهداشت و درمان که در جایی مشغول به کار نیستند، گروهی از کارکنان غیر رسمی،,6
7367,مردم جنوب کرمان,14
7368,عموم مردم ساکن شهر چاه مرید,99
7369,جمعی از اهالی و کشاورزان روستاهای پشتلر، هوکرد، قلعه نو، دهشیخ، ابراهیم آباد وخط میانچیل,64
7370,اهالی روستاهای متصل به جاده میانچیل,11
7371,مردم شهر نودژ شهرستان منوجان استان کرمان,-1
7372,مردم مطالبه گر شهر نودژ شهرستان منوجان استان کرمان,-1
7373,جمعی از مردم بلورد,-1
7374,گروهی از افراد مجرد قبول شده شهرستان قلعه گنج استان کرمان,-1
7375,تولیدکنندگان و مشارکت‌کنندگان در نمایشگاه‌های مبلمان، مصنوعات چوبی، سوغات و هدایا، صنایع دستی و...,-1
7376,تحصیل کردگان روستا,26
7377,شهروندان منطقه جنوب کرمان,-1
7378,علاقه‌مندان تحصیل در رشته حقوق,53
7379,شهروندان جنوب کرمان,-1
7380,شهروندان کرمان و ساکنان سرآسیاب فرسنگی,94
7381,شهروندان ۵شهرستان جنوبی کرمان,-1
7382,مردم پنج شهرستان جنوبی استان کرمان,14
7383,شهروندان شهرستان شهربابک,94
7384,کارشناسان قنات، کارشناسان کشاورزی و جمعی از مردم سرآسیباب فرسنگی کرمان,48
7385,جمعی از بازنشستگان و فرهنگیان استان کرمان,-1
7386,شهروندان شهرستان رفسنجان,94
7387,مردم استان‌های کرمان، سیستان و بلوچستان و فعالان اجتماعی و محیط زیست,0
7388,مردم رفسنجان,7
7389,جمعی از شهروندان شهرستان قلعه گنج,30
7390,جمعی از شهروندان کرمان و خراسان جنوبی,51
7391,مردم شریف شهرستان ارزوئیه (ارزوئیه، صوغان، دولت آباد),64
7392,جمعی از مردم به‌ویژه اقشار تحصیل کرده و فرهنگی,-1
7393,جمعی از اعضای سحاب فرهنگیان کرمان,-1
7394,جمعی از کارآفرینان، روحانیون، بانوان، دانشجویان و اقشار مختلف شهرستان عنبرآباد,-1
7395,جمعی از شهروندان کرمانی فاقد شناسنامه,51
7396,جامعه فرهنگ‌دوست کرمان، دانشجویان هنر، تاریخ و علوم سیاسی,79
7397,جمعی از اساتید، دانشجویان و فرهنگیان استان کرمان,-1
7398,اهالی و علاقه‌مندان ورزش و فوتبال,-1
7399,ساکنان و اهالی روستای شعبجره,-1
7400,اهالی شهر نگار و دشتکار,-1
7401,شهروندان کرمان، معماران، شهرسازان و هنرمندان,-1
7402,اهالی گلزار,-1
7403,کارگران و مهندسین,114
7404,جمعی از دانشجویان ایمنی سسرجان,-1
7405,دانشجویان دانشکده پزشکی دانشگاه علوم پزشکی رفسنجان ورودی ۱۴۰۰,36
7406,کشاورزان، دامداران، مرتع‌داران و ساکنان منطقه کوه عرش,-1
7407,کشاورزان، دامداران، مالکان اراضی، حامیان محیط‌زیست، گروه‌های کوهنوردی و دیگر اقشار,10
7408,مردم روستای قدرودخانه,9
7409,مردم نرماشیر,7
7410,کارگران شرکت ملی مس,113
7411,مردم کوهبنان و عموم فرهنگ‌دوستان,83
7412,مردم کرمان و هرمزگان,14
7413,کوهنوردان و حامیان محیط‌زیست,0
7414,مردم شهرستان انار,21
7415,مردم روستای چاه بید,9
7416,مردم سیرجان و مناطق اطراف,29
7417,کارکنان شرکت‌های منطقه گل‌گهر,3
7418,ساکنین شهر رفسنجان,71
7419,مردم جنوب کرمان و حامیان محیط زیست,0
7420,دانشجویان و اساتید دانشگاه حضرت نرجس,42
7421,مردم روستاهای شهرستان بافت و اهالی منطقه,29
7422,ساکنین شهرک‌های عدالت و طبیعت,71
7423,مردم جبالبارز,7
7424,دانشگاهیان جنوب استان کرمان,14
7425,مردم استان کرمان,14
7426,حامیان محیط زیست و اهالی منطقه,0
7427,مهندسان و کلیه شاغلین در رشته‌های وابسته به ساختمان,-1
7428,دانشجومعلمان و معلمان کرمانی,-1
7429,علاقمندان به موسیقی نواحی,43
7430,مردم روستای چاه حسینعلی,9
7431,مردم اسکر,7
7432,شهروندان استان کرمانشاه,14
7433,مردم اسلام آباد غرب و دالاهو,21
7434,جانبازان سهامدار شرکت ایثار کرمانشاه,72
7435,دانشجویان دانشگاه رازی,55
7436,دانشجویان دانشگاه رازی کرمانشاه,-1
7437,مردم حق‌خواه و معترض کرمانشاه,18
7438,شهروندان کرمانشاهی,16
7439,فعالین سیاسی اجتماعی,0
7440,عموم مردم شهرستان سر پل ذهاب,69
7441,عموم مردم سومار,68
7442,دانشجویان پرستاری استان کرمانشاه,-1
7443,اهالی شهرک پردیس کرمانشاه و مالکین ۳۰۰۰ پلاک از این شهرک,71
7444,شهروندان و فعالین مدنی شهرستان ثلاث باباجانی,-1
7445,شهروندان کرمانشاه,16
7446,پرسنل بهداشت درمان، بیماران سرطانی، عامه مردم استان کرمانشاه، کارشناسان پرتوشناسی، شهروندان,4
7447,شهروندان شهرستان جوانرود,94
7448,مردم هرسین,7
7449,مردم استان کرمانشاه، اهالی میان دربند، دوستداران محیط زیست,0
7450,مردم استان کرمانشاه,14
7451,فعالان محیط زیست، فعالان مدنی، اجتماعی، فرهنگی و تاریخی,0
7452,مهندسین مجری ذیصلاح استان کرمانشاه,20
7453,جمعی از مردم شهرستان سنقروکلیایی,30
7454,جمعی از گروه‌های مردمی و طبیعت دوستان وطرفداران محیط زیست,0
7455,جمعی از نیروهای مشاوره‌ای,5
7456,ساکنان استان‌های غربی کشور,14
7457,مردم بومی شهرستان هرسین,21
7458,اهالی روستای کانی شریف,11
7459,دوستداران لهجه کرمانشاهی,139
7460,مردم نفت‌شهر,7
7461,مردمروستاهای شمشیر، تازه ده و دره بیان,64
7462,ساکنین مسکن مهر تلاش کرمانشاه,34
7463,مردم شهرستان گیلانغرب,21
7464,مردم و کاندیداهای معترض شورای شهر کرمانشاه,83
7465,مردم منطقه مرزی سومار,21
7466,جمعی از ورزشکاران، اساتید، دانشجویان، فرهنگیان و بزرگان کرمانشاه,-1
7467,دانشگاهیان استان کرمانشاه,14
7468,مردم شهر هرسین,21
7469,مردم زلزله‌زده,7
7470,دانشجویان دانشگاه آزاد اسلامی کرمانشاه,38
7471,ساکنین منطقه و گردشگران,-1
7472,جمعی از فرهنگیان و بازنشستگان,-1
7473,دانش آموزان، فعالان فرهنگی، معلمان، مدرسان،دانشجویان,45
7474,فرهنگیان ، بازاریان ، کشاورزان و باغداران ، بازنشستگان و گردشگران,-1
7475,اهالی روستای لاروب چلی ، علمداری ، شهرستان لنده و جوانان جویای کار,29
7476,جمع کثیری ازمردم همیشه در صحنه استان کهگیلویه و بویراحمد,-1
7477,کشاورزان ، فرهنگیان، ساکنین بخش چاروسا بویژه دهستان جاورده,29
7478,فرهنگیان ،بازنشستگان ،سیاسیون ، مردم استان کهکیلویه و بویر احمد,10
7479,فرهنگیان ،بازنشستگان ،سیاسیون ،مردم استان کهگیلویه و بویر احمد,10
7480,اقشار مختلف مردم رای دهنده سراسر کهگیلویه بزرگ,15
7481,اقشار مختلف مردم رای دهنده سراسرکهگیلویه بزرگ,15
7482,دیدبانان استان کهگیلویه و بویراحمد,81
7483,همه مردم شهرستان گچساران,69
7484,بانوان شاغل این استان,73
7485,عموم مردم، به ویژه فرهنگیان و سایر کارمندان,-1
7486,خانواده شهدا، ایثارگران، جوانان، دانشجویان، فرهنگیان، کارمندان، کسبه و بازاریان، بانوان و جامعه ورزشی,10
7487,مردم استان کهگیلویه و بویر احمد,81
7488,جوانان، نخبگان و فعالین محرومیت‌زدایی و پیشرفت و آبادانی و آحاد مردم,-1
7489,شهروندان شهر دهدشت,115
7490,دانشجویان پزشکی دانشگاه علوم پزشکی یاسوج,36
7491,مردم بخش و شهر دیشموک,21
7492,عموم مردم و طبیعت دوستان,102
7493,مردم شهر سی سخت,-1
7494,مردم استان های زاگرس نشین,-1
